StarID,ProperName,RA,Dec,Mag,ColorIndex
513.0,,0.14553806,74.21471191,7.44,-0.006
514.0,,0.14582135,-52.32795054,8.5,0.406
515.0,,0.14607345,14.14205698,7.84,1.125
516.0,,0.14616208,-34.79438791,7.88,0.473
517.0,,0.1463422,-36.74408179,8.65,0.471
518.0,,0.14649349,86.78789828,8.41,0.588
519.0,,0.14678087,-47.06066168,7.81,0.481
520.0,,0.14687296,8.02174864,7.43,0.296
521.0,,0.14697685,-7.89705908,8.76,0.965
522.0,,0.14719434,40.84104758,7.58,0.994
523.0,,0.14722175,40.49456869,6.82,1.568
524.0,,0.14779692,25.46285169,6.24,0.976
525.0,,0.14784442,0.69244524,7.31,1.43
526.0,,0.14823752,-22.17950257,7.13,1.64
527.0,,0.14904566,12.804472,8.48,0.537
528.0,,0.14916054,66.45664771,8.57,0.885
529.0,,0.14978299,-21.20630061,7.21,1.087
530.0,,0.14988694,-39.73711336,7.72,0.62
531.0,,0.14998474,49.85810859,8.03,0.364
532.0,,0.15004367,28.24755645,6.47,0.242
533.0,,0.15064948,18.21202529,5.57,1.043
534.0,,0.15065212,-54.00196301,6.32,0.738
535.0,,0.15073756,-35.09184956,7.78,0.417
536.0,,0.15076392,27.65123946,11.65,1.26
537.0,,0.15076996,9.84996128,8.58,0.714
538.0,,0.1509936,40.84327725,6.93,0.8
539.0,,0.15108459,-27.12235235,11.73,1.493
540.0,,0.15119547,19.92463831,7.11,0.476
